specimen_id,species,canopy_zone,vigor,crown_height_m,trunk_girth_cm,bark_glow,vitality_index
FX-1586,Bloomspire,Hollowdeep,Thriving,17.1,36.0,58.5,62.9
FX-1587,Bloomspire,Hollowdeep,Radiant,23.2,37.6,90.7,62.8
FX-1588,Whispering Linden,Mistfen Reach,Thriving,26.2,19.7,62.1,45.1
FX-1589,Coralmaple,Hollowdeep,Thriving,24.2,22.6,55.5,62.6
FX-1590,Glasszelkova,Hollowdeep,Thriving,23.8,10.0,55.6,42.4
FX-1591,Thornlace,Hollowdeep,Waning,9.5,16.4,29.8,37.8
FX-1592,Ghostplane,Hollowdeep,Thriving,15.1,36.2,50.6,45.1
FX-1593,Ironcrown Oak,Cragside,Husk,27.5,29.0,6.0,66.2
FX-1594,Thornlace,Sunspire Heights,Thriving,16.3,13.7,61.2,51.7
FX-1595,Duskmaple,Sunspire Heights,Thriving,23.8,25.2,59.8,71.4
FX-1596,Thornlace,Hollowdeep,Thriving,17.1,12.9,52.3,41.2
FX-1597,Ironcrown Oak,Hollowdeep,Waning,19.3,35.1,21.8,59.8
FX-1598,Ironcrown Oak,Cragside,Radiant,25.9,29.2,84.6,72.5
FX-1599,Glasszelkova,Sunspire Heights,Thriving,36.4,7.9,57.5,54.0
FX-1600,Bloomspire,Cragside,Thriving,23.7,35.7,52.3,69.7
FX-1601,Glasszelkova,Sunspire Heights,Thriving,35.2,4.8,59.6,56.1
FX-1602,Whispering Linden,Sunspire Heights,Thriving,26.9,22.4,49.5,50.2
FX-1603,Thornlace,Mistfen Reach,Radiant,16.5,9.9,80.8,46.6
FX-1604,Emberoak,Mistfen Reach,Thriving,21.6,33.0,51.2,63.4
FX-1605,Ghostplane,Sunspire Heights,Radiant,24.1,36.7,77.9,54.9
FX-1606,Thornlace,Sunspire Heights,Thriving,19.0,13.0,54.3,57.9
FX-1607,Goldfan Ginko,Mistfen Reach,Thriving,33.9,8.4,52.9,69.2
FX-1608,Duskmaple,Mistfen Reach,Thriving,16.6,27.7,56.6,67.2
FX-1609,Ghostplane,Mistfen Reach,Thriving,18.4,29.1,61.4,44.5
FX-1610,Thornlace,Hollowdeep,Thriving,9.0,8.1,45.1,41.8
FX-1611,Duskmaple,Hollowdeep,Waning,18.4,20.9,34.3,57.7
FX-1612,Verdant Ash,Mistfen Reach,Radiant,16.5,20.6,84.9,47.8
FX-1613,Palepear,Mistfen Reach,Thriving,14.0,12.1,53.6,44.2
FX-1614,Palepear,Mistfen Reach,Husk,13.7,7.7,0.0,39.8
FX-1615,Thornlace,Hollowdeep,Thriving,10.9,15.3,57.6,42.6
FX-1616,Bloomspire,Cragside,Thriving,22.6,38.7,63.3,65.8
FX-1617,Palepear,Mistfen Reach,Radiant,10.8,9.8,69.2,46.8
FX-1618,Verdant Ash,Sunspire Heights,Thriving,23.8,22.2,55.7,56.0
FX-1619,Goldfan Ginko,Hollowdeep,Waning,30.9,11.4,25.5,60.6
FX-1620,Coralmaple,Mistfen Reach,Thriving,28.1,19.3,54.6,61.9
FX-1621,Verdant Ash,Hollowdeep,Thriving,16.0,22.1,69.5,44.9
FX-1622,Palepear,Sunspire Heights,Radiant,17.7,8.7,70.4,59.0
FX-1623,Palepear,Mistfen Reach,Radiant,13.8,13.5,72.0,49.3
FX-1624,Bloomspire,Mistfen Reach,Thriving,23.5,35.2,58.9,68.0
FX-1625,Palepear,Sunspire Heights,Thriving,21.2,8.0,55.1,52.3
FX-1626,Goldfan Ginko,Mistfen Reach,Waning,32.8,17.8,26.7,63.9
FX-1627,Thornlace,Sunspire Heights,Thriving,21.6,13.5,59.0,56.4
FX-1628,Glasszelkova,Hollowdeep,Thriving,22.6,10.4,53.6,38.5
FX-1629,Ghostplane,Sunspire Heights,Thriving,22.1,31.5,50.6,49.9
FX-1630,Palepear,Sunspire Heights,Radiant,18.0,11.1,90.3,57.4
FX-1631,Palepear,Sunspire Heights,Thriving,17.5,10.0,56.7,55.2
FX-1632,Duskmaple,Hollowdeep,Radiant,13.8,29.7,79.2,63.8
FX-1633,Whispering Linden,Mistfen Reach,Husk,25.5,19.1,4.6,42.3
FX-1634,Verdant Ash,Hollowdeep,Radiant,8.9,20.6,84.4,47.1
FX-1635,Goldfan Ginko,Mistfen Reach,Waning,33.9,10.2,20.9,62.8
FX-1636,Emberoak,Mistfen Reach,Radiant,27.7,30.2,83.1,68.7
FX-1637,Whispering Linden,Hollowdeep,Thriving,24.2,14.9,55.8,43.7
FX-1638,Ghostplane,Mistfen Reach,Waning,20.4,30.3,29.2,38.5
FX-1639,Coralmaple,Sunspire Heights,Waning,31.2,21.3,34.9,71.7
FX-1640,Verdant Ash,Sunspire Heights,Thriving,17.6,18.5,58.1,51.2
FX-1641,Whispering Linden,Sunspire Heights,Thriving,32.1,15.0,59.4,54.7
FX-1642,Duskmaple,Hollowdeep,Radiant,17.4,20.5,84.6,64.6
FX-1643,Emberoak,Mistfen Reach,Thriving,25.5,24.9,56.4,64.7
FX-1644,Coralmaple,Hollowdeep,Thriving,27.2,15.7,60.4,62.9
FX-1645,Bloomspire,Mistfen Reach,Thriving,20.5,32.3,56.1,64.0
FX-1646,Bloomspire,Sunspire Heights,Thriving,30.5,39.3,48.2,71.7
FX-1647,Coralmaple,Cragside,Thriving,28.2,15.8,56.3,65.9
FX-1648,Palepear,Sunspire Heights,Husk,17.6,5.5,8.9,57.1
FX-1649,Duskmaple,Cragside,Thriving,18.0,22.1,47.7,66.5
FX-1650,Duskmaple,Cragside,Radiant,22.7,20.7,76.2,70.2
FX-1651,Glasszelkova,Sunspire Heights,Thriving,32.5,8.9,53.0,50.0
FX-1652,Glasszelkova,Mistfen Reach,Thriving,27.5,11.6,67.4,41.6
FX-1653,Whispering Linden,Sunspire Heights,Waning,32.8,17.1,17.6,53.3
FX-1654,Goldfan Ginko,Cragside,Thriving,37.6,12.1,55.1,64.0
FX-1655,Whispering Linden,Mistfen Reach,Radiant,23.4,14.6,90.2,50.5
FX-1656,Ironcrown Oak,Hollowdeep,Thriving,21.6,25.4,50.3,62.7
FX-1657,Thornlace,Sunspire Heights,Thriving,19.2,11.2,57.4,56.3
FX-1658,Thornlace,Mistfen Reach,Waning,17.6,16.1,22.6,47.8
FX-1659,Emberoak,Cragside,Waning,27.8,25.4,29.2,65.7
FX-1660,Whispering Linden,Sunspire Heights,Radiant,25.5,17.1,86.4,54.3
FX-1661,Thornlace,Mistfen Reach,Radiant,15.4,18.4,58.3,49.4
FX-1662,Thornlace,Sunspire Heights,Thriving,20.2,14.4,56.1,54.6
FX-1663,Goldfan Ginko,Cragside,Radiant,34.4,17.0,76.2,73.1
FX-1664,Ironcrown Oak,Mistfen Reach,Thriving,27.3,30.7,55.2,66.5
FX-1665,Duskmaple,Sunspire Heights,Thriving,24.7,24.2,44.7,75.1
FX-1666,Whispering Linden,Hollowdeep,Thriving,23.7,19.8,52.5,41.8
FX-1667,Coralmaple,Hollowdeep,Thriving,28.3,18.3,51.4,62.9
FX-1668,Verdant Ash,Mistfen Reach,Thriving,15.7,22.5,52.6,45.3
FX-1669,Emberoak,Mistfen Reach,Thriving,24.7,28.1,48.1,66.3
FX-1670,Whispering Linden,Mistfen Reach,Thriving,25.1,17.2,53.4,45.1
FX-1671,Palepear,Sunspire Heights,Waning,12.7,6.6,29.6,54.9
FX-1672,Goldfan Ginko,Mistfen Reach,Radiant,33.2,15.9,70.2,62.5
FX-1673,Coralmaple,Mistfen Reach,Thriving,31.5,22.4,53.9,69.1
FX-1674,Glasszelkova,Sunspire Heights,Thriving,31.0,10.2,53.8,49.6
FX-1675,Goldfan Ginko,Mistfen Reach,Radiant,31.6,17.5,78.1,64.7
FX-1676,Thornlace,Mistfen Reach,Thriving,16.4,11.2,60.5,47.7
FX-1677,Duskmaple,Hollowdeep,Thriving,15.4,21.1,56.9,65.8
FX-1678,Whispering Linden,Sunspire Heights,Radiant,26.6,18.9,88.6,56.5
FX-1679,Duskmaple,Cragside,Thriving,19.5,26.1,58.2,66.4
FX-1680,Verdant Ash,Sunspire Heights,Waning,22.5,23.3,17.9,52.0
FX-1681,Thornlace,Mistfen Reach,Thriving,12.6,14.6,55.9,44.2
FX-1682,Coralmaple,Sunspire Heights,Radiant,35.5,22.0,85.1,76.5
FX-1683,Thornlace,Sunspire Heights,Thriving,22.5,13.8,52.8,57.0
FX-1684,Ironcrown Oak,Cragside,Waning,24.5,32.4,26.6,70.0
FX-1685,Glasszelkova,Sunspire Heights,Radiant,37.8,7.9,91.8,57.5
FX-1686,Ironcrown Oak,Mistfen Reach,Thriving,21.3,30.2,72.3,65.1
FX-1687,Bloomspire,Hollowdeep,Thriving,16.7,37.5,48.1,63.4
FX-1688,Goldfan Ginko,Hollowdeep,Thriving,32.5,8.0,45.7,62.4
FX-1689,Coralmaple,Mistfen Reach,Radiant,32.6,17.9,79.1,66.5
FX-1690,Bloomspire,Mistfen Reach,Thriving,18.4,37.8,50.8,64.0
FX-1691,Whispering Linden,Mistfen Reach,Radiant,31.8,19.8,73.9,46.7
FX-1692,Ironcrown Oak,Hollowdeep,Thriving,22.5,28.5,53.6,66.5
FX-1693,Duskmaple,Hollowdeep,Waning,18.5,26.4,38.7,61.7
FX-1694,Glasszelkova,Mistfen Reach,Thriving,31.1,11.2,52.8,41.0
FX-1695,Ironcrown Oak,Mistfen Reach,Husk,22.3,27.9,0.0,61.5
FX-1696,Emberoak,Hollowdeep,Thriving,21.5,25.2,64.1,63.0
FX-1697,Duskmaple,Mistfen Reach,Thriving,17.3,22.6,56.5,63.1
FX-1698,Duskmaple,Cragside,Thriving,22.5,28.8,67.7,64.8
FX-1699,Ghostplane,Hollowdeep,Thriving,19.5,33.6,54.0,46.8
FX-1700,Whispering Linden,Sunspire Heights,Radiant,31.4,18.7,61.9,54.8
FX-1701,Whispering Linden,Hollowdeep,Waning,24.8,17.9,24.3,42.0
FX-1702,Bloomspire,Sunspire Heights,Waning,20.6,34.7,30.6,81.5
FX-1703,Duskmaple,Cragside,Thriving,22.4,22.8,57.9,64.9
FX-1704,Verdant Ash,Sunspire Heights,Waning,22.4,20.2,28.2,50.1
FX-1705,Whispering Linden,Sunspire Heights,Thriving,36.2,16.7,59.9,49.1
FX-1706,Verdant Ash,Sunspire Heights,Waning,19.6,20.4,38.7,50.8
FX-1707,Whispering Linden,Mistfen Reach,Waning,24.5,18.3,26.7,48.7
FX-1708,Emberoak,Hollowdeep,Thriving,25.8,27.9,57.6,65.9
FX-1709,Emberoak,Mistfen Reach,Thriving,24.3,25.3,53.4,67.6
FX-1710,Verdant Ash,Mistfen Reach,Thriving,15.2,23.8,67.0,44.9
FX-1711,Verdant Ash,Mistfen Reach,Waning,20.3,13.0,34.9,47.8
FX-1712,Bloomspire,Mistfen Reach,Thriving,21.5,40.6,60.0,66.3
FX-1713,Emberoak,Hollowdeep,Husk,24.2,24.9,6.3,56.1
FX-1714,Whispering Linden,Cragside,Radiant,22.4,17.0,69.8,47.9
FX-1715,Palepear,Sunspire Heights,Radiant,16.3,15.3,74.5,57.9
FX-1716,Verdant Ash,Cragside,Thriving,21.8,22.0,60.5,49.2
FX-1717,Verdant Ash,Mistfen Reach,Thriving,17.6,25.6,59.3,44.2
FX-1718,Emberoak,Hollowdeep,Thriving,22.9,26.8,44.3,61.8
FX-1719,Duskmaple,Mistfen Reach,Radiant,19.8,19.3,80.8,64.3
FX-1720,Coralmaple,Hollowdeep,Thriving,26.4,21.0,54.7,61.8
FX-1721,Coralmaple,Cragside,Radiant,33.3,20.3,77.2,76.0
FX-1722,Emberoak,Mistfen Reach,Radiant,30.1,24.8,90.2,67.8
FX-1723,Whispering Linden,Hollowdeep,Radiant,23.1,11.5,80.8,49.8
FX-1724,Thornlace,Sunspire Heights,Waning,14.8,16.3,27.9,54.3
FX-1725,Ghostplane,Mistfen Reach,Thriving,16.0,31.3,61.3,48.2
FX-1726,Ghostplane,Hollowdeep,Waning,18.3,34.8,22.8,43.7
FX-1727,Goldfan Ginko,Cragside,Thriving,37.5,16.0,57.5,65.9
FX-1728,Verdant Ash,Sunspire Heights,Radiant,24.0,22.7,90.2,50.7
FX-1729,Duskmaple,Cragside,Waning,16.5,22.5,33.9,69.6
FX-1730,Duskmaple,Hollowdeep,Radiant,15.8,26.5,75.4,65.3
FX-1731,Ironcrown Oak,Hollowdeep,Thriving,21.1,36.2,55.2,64.0
FX-1732,Palepear,Mistfen Reach,Waning,9.3,14.1,26.5,38.6
FX-1733,Glasszelkova,Sunspire Heights,Thriving,35.1,12.3,49.2,52.5
FX-1734,Emberoak,Sunspire Heights,Waning,34.1,25.5,31.5,72.8
FX-1735,Duskmaple,Mistfen Reach,Thriving,18.4,25.0,59.9,63.4
FX-1736,Verdant Ash,Sunspire Heights,Husk,24.8,19.6,8.8,51.4
FX-1737,Ghostplane,Hollowdeep,Husk,16.4,38.5,12.8,38.7
FX-1738,Whispering Linden,Hollowdeep,Radiant,25.2,13.0,75.9,44.9
FX-1739,Coralmaple,Hollowdeep,Thriving,27.8,25.9,65.4,62.6
FX-1740,Palepear,Sunspire Heights,Radiant,15.1,9.5,72.6,57.9
FX-1741,Verdant Ash,Hollowdeep,Thriving,15.4,23.2,50.0,43.5
FX-1742,Duskmaple,Sunspire Heights,Thriving,21.4,21.9,62.8,72.7
FX-1743,Coralmaple,Mistfen Reach,Radiant,24.9,25.8,69.7,66.3
FX-1744,Palepear,Mistfen Reach,Thriving,13.2,8.3,52.3,44.2
FX-1745,Whispering Linden,Sunspire Heights,Waning,29.6,16.8,32.3,49.6
FX-1746,Ironcrown Oak,Cragside,Waning,29.1,33.5,29.1,62.8
FX-1747,Verdant Ash,Sunspire Heights,Radiant,24.4,24.5,78.8,53.2
FX-1748,Goldfan Ginko,Mistfen Reach,Waning,31.2,10.7,40.7,65.0
FX-1749,Glasszelkova,Cragside,Thriving,32.2,9.4,50.7,52.6
FX-1750,Thornlace,Sunspire Heights,Thriving,21.9,12.5,49.9,50.0
FX-1751,Verdant Ash,Sunspire Heights,Thriving,20.2,18.3,55.5,55.4
FX-1752,Whispering Linden,Hollowdeep,Radiant,27.9,12.6,90.5,38.2
FX-1753,Verdant Ash,Sunspire Heights,Thriving,21.7,21.5,51.9,51.9
FX-1754,Duskmaple,Mistfen Reach,Thriving,17.3,27.1,67.2,69.4
FX-1755,Thornlace,Sunspire Heights,Thriving,22.1,13.3,50.8,50.5
FX-1756,Bloomspire,Cragside,Thriving,23.1,34.8,58.1,64.5
FX-1757,Whispering Linden,Sunspire Heights,Radiant,30.9,18.8,90.3,51.4
FX-1758,Duskmaple,Mistfen Reach,Radiant,16.9,24.7,70.3,67.4
FX-1759,Whispering Linden,Mistfen Reach,Radiant,21.0,14.6,66.9,48.9
FX-1760,Glasszelkova,Sunspire Heights,Radiant,32.9,13.0,79.6,54.6
FX-1761,Bloomspire,Sunspire Heights,Thriving,25.2,34.6,61.9,76.8
FX-1762,Duskmaple,Cragside,Radiant,22.7,25.3,82.4,71.6
FX-1763,Thornlace,Sunspire Heights,Radiant,20.2,16.0,81.7,56.3
FX-1764,Glasszelkova,Sunspire Heights,Waning,32.2,3.7,36.6,53.7
FX-1765,Whispering Linden,Mistfen Reach,Waning,27.8,20.8,31.9,42.4
FX-1766,Thornlace,Mistfen Reach,Waning,14.3,15.1,34.6,41.2
FX-1767,Duskmaple,Cragside,Radiant,22.0,28.0,84.0,73.5
FX-1768,Goldfan Ginko,Cragside,Husk,32.7,13.4,0.0,64.7
FX-1769,Emberoak,Hollowdeep,Waning,26.8,29.6,29.6,62.5
FX-1770,Ghostplane,Mistfen Reach,Thriving,15.1,35.9,46.8,42.9
FX-1771,Verdant Ash,Mistfen Reach,Thriving,14.9,19.4,48.8,42.2
FX-1772,Thornlace,Sunspire Heights,Husk,21.3,13.8,6.3,41.7
FX-1773,Palepear,Hollowdeep,Radiant,11.2,9.7,72.7,48.0
FX-1774,Ghostplane,Mistfen Reach,Thriving,20.0,35.7,49.6,45.7
FX-1775,Glasszelkova,Cragside,Thriving,33.2,14.2,57.2,46.4
FX-1776,Whispering Linden,Hollowdeep,Waning,22.6,19.6,32.3,41.0
FX-1777,Coralmaple,Mistfen Reach,Thriving,25.5,22.1,50.6,61.0
FX-1778,Whispering Linden,Mistfen Reach,Thriving,21.9,17.7,46.4,44.4
FX-1779,Glasszelkova,Mistfen Reach,Thriving,28.5,8.8,62.8,48.5
FX-1780,Whispering Linden,Sunspire Heights,Waning,31.7,19.3,23.2,57.0
FX-1781,Palepear,Hollowdeep,Thriving,11.8,7.5,49.5,43.9
FX-1782,Goldfan Ginko,Cragside,Waning,34.3,17.0,32.1,65.8
FX-1783,Thornlace,Sunspire Heights,Radiant,22.6,12.9,81.3,55.5
FX-1784,Verdant Ash,Mistfen Reach,Thriving,18.8,16.0,57.6,41.1
FX-1785,Duskmaple,Cragside,Waning,19.0,22.7,19.5,66.9
FX-1786,Verdant Ash,Sunspire Heights,Thriving,20.3,16.6,51.9,57.2
FX-1787,Verdant Ash,Mistfen Reach,Thriving,15.1,14.9,62.5,41.2
FX-1788,Bloomspire,Cragside,Waning,18.6,33.9,36.2,62.5
FX-1789,Glasszelkova,Cragside,Radiant,30.7,10.6,87.5,55.5
FX-1790,Duskmaple,Mistfen Reach,Thriving,14.5,21.3,65.5,69.6
FX-1791,Goldfan Ginko,Mistfen Reach,Thriving,32.4,17.7,61.2,65.1
FX-1792,Ghostplane,Hollowdeep,Waning,12.8,32.0,25.8,44.4
FX-1793,Bloomspire,Cragside,Radiant,23.1,33.6,75.7,69.8
FX-1794,Whispering Linden,Mistfen Reach,Radiant,20.8,17.0,79.0,46.4
FX-1795,Palepear,Mistfen Reach,Thriving,13.8,2.9,60.7,49.1
FX-1796,Thornlace,Mistfen Reach,Radiant,15.3,11.0,73.3,45.5
FX-1797,Whispering Linden,Mistfen Reach,Waning,26.2,19.3,27.7,37.3
FX-1798,Coralmaple,Mistfen Reach,Radiant,31.1,24.4,82.2,68.4
FX-1799,Coralmaple,Mistfen Reach,Waning,27.4,17.8,29.2,63.7
FX-1800,Bloomspire,Mistfen Reach,Thriving,20.6,34.0,51.0,69.3
FX-1801,Bloomspire,Hollowdeep,Thriving,17.6,35.5,44.2,63.4
FX-1802,Whispering Linden,Mistfen Reach,Thriving,22.7,15.9,55.7,46.8
FX-1803,Thornlace,Sunspire Heights,Thriving,22.4,14.3,55.9,55.5
FX-1804,Bloomspire,Cragside,Thriving,19.5,35.9,56.9,68.0
FX-1805,Ghostplane,Mistfen Reach,Thriving,17.5,30.8,51.2,44.5
FX-1806,Palepear,Mistfen Reach,Waning,12.2,7.2,32.2,41.6
FX-1807,Palepear,Sunspire Heights,Waning,16.3,7.4,36.9,54.3
FX-1808,Ghostplane,Mistfen Reach,Waning,19.8,30.8,30.6,41.0
FX-1809,Verdant Ash,Mistfen Reach,Radiant,18.6,13.0,77.7,50.0
FX-1810,Glasszelkova,Sunspire Heights,Thriving,35.2,15.1,55.0,48.0
FX-1811,Verdant Ash,Sunspire Heights,Radiant,25.2,17.7,89.3,60.3
FX-1812,Emberoak,Cragside,Radiant,28.9,23.3,79.4,68.1
FX-1813,Goldfan Ginko,Cragside,Radiant,34.3,12.7,85.0,69.1
FX-1814,Glasszelkova,Mistfen Reach,Thriving,31.3,8.1,64.2,45.1
FX-1815,Coralmaple,Cragside,Thriving,31.2,22.9,45.3,62.6
FX-1816,Goldfan Ginko,Mistfen Reach,Radiant,33.8,10.5,77.9,69.5
FX-1817,Glasszelkova,Sunspire Heights,Thriving,32.0,19.4,47.6,49.6
FX-1818,Bloomspire,Cragside,Waning,26.1,34.1,32.7,65.2
FX-1819,Ironcrown Oak,Mistfen Reach,Thriving,24.8,29.8,55.5,67.5
FX-1820,Ironcrown Oak,Mistfen Reach,Waning,21.4,26.8,35.9,65.0
FX-1821,Coralmaple,Mistfen Reach,Husk,24.0,20.3,8.7,60.2
FX-1822,Thornlace,Sunspire Heights,Thriving,21.7,14.5,58.0,51.6
FX-1823,Palepear,Sunspire Heights,Radiant,17.5,9.4,78.8,58.6
FX-1824,Ghostplane,Sunspire Heights,Thriving,28.0,31.4,45.1,52.7
FX-1825,Emberoak,Mistfen Reach,Thriving,30.3,33.4,67.3,64.5
FX-1826,Palepear,Sunspire Heights,Waning,14.3,10.4,36.3,52.4
FX-1827,Ghostplane,Sunspire Heights,Thriving,21.9,28.6,49.8,53.1
FX-1828,Palepear,Sunspire Heights,Waning,19.6,11.6,28.2,48.1
FX-1829,Ghostplane,Sunspire Heights,Radiant,27.0,30.7,72.1,54.0
FX-1830,Emberoak,Mistfen Reach,Thriving,29.5,23.7,66.8,58.7
FX-1831,Thornlace,Mistfen Reach,Thriving,11.6,13.3,55.4,47.7
FX-1832,Ghostplane,Hollowdeep,Thriving,21.4,37.7,56.9,42.3
FX-1833,Glasszelkova,Sunspire Heights,Thriving,29.1,9.3,61.2,52.5
FX-1834,Coralmaple,Hollowdeep,Thriving,24.8,20.9,46.1,64.9
FX-1835,Thornlace,Hollowdeep,Thriving,14.6,11.0,60.3,41.2
FX-1836,Emberoak,Cragside,Thriving,29.8,29.4,53.1,72.3
FX-1837,Palepear,Hollowdeep,Thriving,8.0,5.4,60.8,44.4
FX-1838,Palepear,Sunspire Heights,Husk,19.3,5.0,2.2,51.5
FX-1839,Ghostplane,Sunspire Heights,Thriving,22.3,32.5,52.5,57.2
FX-1840,Glasszelkova,Sunspire Heights,Thriving,35.0,10.5,54.8,52.4
FX-1841,Whispering Linden,Hollowdeep,Thriving,23.0,16.8,55.5,41.6
FX-1842,Duskmaple,Cragside,Radiant,17.3,23.7,78.4,71.2
FX-1843,Palepear,Hollowdeep,Waning,13.9,8.6,29.6,35.7
FX-1844,Ghostplane,Mistfen Reach,Thriving,21.6,31.2,55.3,48.1
FX-1845,Duskmaple,Sunspire Heights,Thriving,23.9,29.5,54.7,69.8
FX-1846,Ghostplane,Mistfen Reach,Radiant,16.5,35.6,80.8,42.7
FX-1847,Glasszelkova,Hollowdeep,Thriving,26.9,8.0,48.5,43.3
FX-1848,Verdant Ash,Mistfen Reach,Thriving,20.0,18.2,52.3,39.9
FX-1849,Palepear,Cragside,Waning,13.9,8.3,32.0,46.2
FX-1850,Whispering Linden,Sunspire Heights,Radiant,33.2,16.8,90.0,55.7
FX-1851,Thornlace,Sunspire Heights,Radiant,19.1,14.6,82.2,53.2
FX-1852,Glasszelkova,Mistfen Reach,Thriving,28.6,9.9,59.4,50.1
FX-1853,Duskmaple,Mistfen Reach,Thriving,15.4,23.8,51.6,62.6
FX-1854,Coralmaple,Mistfen Reach,Thriving,35.2,19.5,56.2,67.8
FX-1855,Coralmaple,Mistfen Reach,Radiant,29.9,19.8,77.3,68.9
FX-1856,Verdant Ash,Hollowdeep,Thriving,14.6,17.4,64.8,46.1
FX-1857,Ironcrown Oak,Cragside,Radiant,26.1,32.7,78.1,68.2
FX-1858,Thornlace,Mistfen Reach,Radiant,16.7,9.3,77.0,42.6
FX-1859,Goldfan Ginko,Mistfen Reach,Waning,35.5,11.5,44.3,55.5
FX-1860,Glasszelkova,Sunspire Heights,Waning,33.4,19.0,23.3,52.3
FX-1861,Ironcrown Oak,Hollowdeep,Radiant,20.7,33.1,93.5,66.2
FX-1862,Palepear,Hollowdeep,Radiant,11.0,10.6,84.5,39.2
FX-1863,Verdant Ash,Sunspire Heights,Radiant,19.1,21.6,77.8,56.9
FX-1864,Palepear,Sunspire Heights,Thriving,15.3,9.1,56.9,53.0
FX-1865,Bloomspire,Mistfen Reach,Thriving,21.3,36.4,41.1,68.2
FX-1866,Verdant Ash,Sunspire Heights,Thriving,26.7,23.5,55.1,57.3
FX-1867,Ghostplane,Mistfen Reach,Thriving,17.4,34.8,52.4,43.4
FX-1868,Palepear,Sunspire Heights,Thriving,16.6,11.7,61.4,52.3
FX-1869,Verdant Ash,Hollowdeep,Waning,17.6,19.3,34.1,38.6
FX-1870,Verdant Ash,Sunspire Heights,Thriving,23.2,17.1,47.7,56.2
FX-1871,Ghostplane,Sunspire Heights,Thriving,24.2,36.9,45.4,50.6
FX-1872,Whispering Linden,Sunspire Heights,Radiant,26.8,19.0,71.6,56.7
FX-1873,Thornlace,Hollowdeep,Waning,12.4,10.7,24.8,39.3
FX-1874,Bloomspire,Mistfen Reach,Radiant,25.2,41.3,94.9,67.4
FX-1875,Duskmaple,Mistfen Reach,Thriving,16.3,19.8,50.0,67.8
FX-1876,Ironcrown Oak,Cragside,Thriving,25.0,30.9,53.0,73.2
FX-1877,Ghostplane,Mistfen Reach,Thriving,19.1,36.1,54.8,52.4
FX-1878,Ironcrown Oak,Mistfen Reach,Thriving,26.3,29.7,57.3,66.5
FX-1879,Ironcrown Oak,Cragside,Thriving,24.7,36.9,48.0,66.5
FX-1880,Glasszelkova,Mistfen Reach,Thriving,22.9,10.1,42.7,43.5
FX-1881,Ghostplane,Sunspire Heights,Radiant,25.3,32.9,80.3,56.0
FX-1882,Palepear,Mistfen Reach,Radiant,11.2,7.5,77.4,45.2
FX-1883,Whispering Linden,Sunspire Heights,Thriving,30.0,14.6,54.6,51.6
FX-1884,Goldfan Ginko,Cragside,Thriving,32.5,17.0,53.0,62.9
FX-1885,Ironcrown Oak,Hollowdeep,Radiant,18.1,26.1,84.7,66.5
FX-1886,Verdant Ash,Sunspire Heights,Thriving,17.4,17.1,53.1,52.0
FX-1887,Duskmaple,Hollowdeep,Thriving,16.0,28.0,55.0,59.9
FX-1888,Duskmaple,Mistfen Reach,Waning,17.0,24.0,29.2,60.1
FX-1889,Bloomspire,Mistfen Reach,Radiant,24.3,31.1,77.7,64.6
FX-1890,Coralmaple,Mistfen Reach,Radiant,26.9,26.5,77.7,68.3
FX-1891,Bloomspire,Hollowdeep,Thriving,19.5,34.5,54.7,61.3
FX-1892,Duskmaple,Mistfen Reach,Husk,18.5,24.2,4.6,60.9
FX-1893,Ironcrown Oak,Cragside,Radiant,26.0,26.7,74.0,68.8
FX-1894,Coralmaple,Hollowdeep,Radiant,20.3,20.8,95.5,58.5
FX-1895,Verdant Ash,Mistfen Reach,Radiant,16.5,21.8,77.4,44.2
FX-1896,Bloomspire,Mistfen Reach,Radiant,19.0,33.9,80.8,69.2
FX-1897,Goldfan Ginko,Mistfen Reach,Thriving,35.9,19.9,51.0,67.4
FX-1898,Bloomspire,Hollowdeep,Waning,19.3,34.3,23.3,60.5
FX-1899,Emberoak,Hollowdeep,Thriving,20.4,26.4,57.3,64.5
FX-1900,Emberoak,Mistfen Reach,Thriving,27.8,29.2,61.2,62.3
FX-1901,Emberoak,Sunspire Heights,Thriving,33.9,26.8,57.1,70.7
FX-1902,Goldfan Ginko,Cragside,Thriving,33.0,16.3,58.8,70.5
FX-1903,Palepear,Sunspire Heights,Waning,19.0,10.8,21.9,54.2
FX-1904,Ghostplane,Mistfen Reach,Radiant,23.3,34.3,76.7,40.1
FX-1905,Bloomspire,Mistfen Reach,Thriving,19.0,32.9,52.9,59.8
FX-1906,Ghostplane,Sunspire Heights,Radiant,24.1,28.7,84.9,55.6
FX-1907,Ironcrown Oak,Mistfen Reach,Radiant,20.8,24.7,75.5,63.2
FX-1908,Thornlace,Mistfen Reach,Radiant,20.8,7.2,83.5,48.8
FX-1909,Goldfan Ginko,Mistfen Reach,Radiant,31.7,16.7,77.5,68.1
FX-1910,Duskmaple,Mistfen Reach,Thriving,13.8,28.0,60.1,63.4
FX-1911,Coralmaple,Cragside,Husk,32.3,22.2,8.4,69.6
FX-1912,Palepear,Sunspire Heights,Radiant,20.5,8.4,81.6,52.0
FX-1913,Emberoak,Hollowdeep,Thriving,22.1,26.7,54.1,60.1
FX-1914,Duskmaple,Mistfen Reach,Thriving,18.6,22.6,46.3,64.4
