lichen_isolate,gene_id,expression,expression_normalized
S126,XAN_1600,242.8,-1.653605
S127,XAN_1600,243.6,-1.534284
S128,XAN_1600,242.4,-1.267783
S129,XAN_1600,245.5,1.408351
S130,XAN_1600,243.9,-0.215802
S131,XAN_1600,244.4,0.093175
S132,XAN_1600,244.1,-0.107515
S133,XAN_1600,244.4,-0.129273
S134,XAN_1600,243,-1.415309
S135,XAN_1600,246.2,0.965535
S136,XAN_1600,244,-0.55522
S137,XAN_1600,245.6,0.578035
S138,XAN_1600,244.6,-0.104941
S139,XAN_1600,243.6,-1.128733
S140,XAN_1600,244.4,-0.271838
S141,XAN_1600,244.6,-0.121069
S142,XAN_1600,244.3,-0.416549
S143,XAN_1600,245,0.426393
S144,XAN_1600,243,-0.964979
S145,XAN_1600,244.1,-0.262521
S146,XAN_1600,243.4,-0.76264
S147,XAN_1600,244.3,0.102683
S148,XAN_1600,245.2,0.911292
S149,XAN_1600,243,-1.729827
S150,XAN_1600,243.6,-1.026863
S151,XAN_1600,245.3,0.312092
S152,XAN_1600,244,-0.616263
S153,XAN_1600,245,0.751909
S154,XAN_1600,246.5,0.894297
S155,XAN_1600,246.1,1.088863
S156,XAN_1600,244.8,0.180161
S157,XAN_1600,245.8,0.283421
S158,XAN_1600,246.9,1.465828
S159,XAN_1600,244.8,0.749302
S160,XAN_1600,244.7,0.218555
S161,XAN_1600,243.3,-1.405712
S162,XAN_1600,245.8,0.840154
S163,XAN_1600,245,1.455302
S164,XAN_1600,244.5,0.598372
S165,XAN_1600,243.2,-1.209469
S166,XAN_1600,244.6,-0.175888
S167,XAN_1600,244.9,0.712052
S168,XAN_1600,243.8,-1.641058
S169,XAN_1600,242.6,-1.704774
S170,XAN_1600,244,-1.352585
S171,XAN_1600,243.6,-0.207843
S172,XAN_1600,243.8,-0.855465
S173,XAN_1600,244.6,0.784869
S174,XAN_1600,243.8,-0.18209
S175,XAN_1600,244.6,-0.1383
S176,XAN_1600,244.5,0.227235
S177,XAN_1600,242.9,-1.298688
S178,XAN_1600,244.7,-0.219543
S179,XAN_1600,244,-0.232868
S180,XAN_1600,244,-0.77247
S181,XAN_1600,244.2,-0.560177
S182,XAN_1600,244.7,0.249685
S183,XAN_1600,243.6,-0.819424
S184,XAN_1600,242.7,-1.713438
S185,XAN_1600,245.6,0.580568
S186,XAN_1600,243.4,-1.093451
S187,XAN_1600,244.2,-0.879064
S188,XAN_1600,246.8,0.927376
S189,XAN_1600,244.3,-0.602627
S190,XAN_1600,244.8,0.159224
S191,XAN_1600,244.8,0.067903
S192,XAN_1600,245.1,0.287046
S193,XAN_1600,245.1,1.490884
S194,XAN_1600,246.6,0.757252
S195,XAN_1600,246.2,1.9329480000000001
S196,XAN_1600,244.8,0.805535
S197,XAN_1600,244.6,0.191777
S198,XAN_1600,245.4,0.384804
S199,XAN_1600,244.2,-0.519813
S200,XAN_1600,244.8,0.179753
S001,XAN_1639,150.9,-0.403314
S002,XAN_1639,151.5,-0.896661
S003,XAN_1639,151.9,-0.106157
S004,XAN_1639,151.2,-0.436581
S005,XAN_1639,150.5,-0.852097
S006,XAN_1639,153.2,1.574506
S007,XAN_1639,151.9,0.013419
S008,XAN_1639,152.9,0.752167
S009,XAN_1639,150.3,-1.258426
S010,XAN_1639,151.1,-0.757166
S011,XAN_1639,152.4,0.373776
S012,XAN_1639,150.5,-1.256743
S013,XAN_1639,151.6,0.638953
S014,XAN_1639,152.3,0.185647
S015,XAN_1639,152,0.507428
S016,XAN_1639,153,1.343605
S017,XAN_1639,153.3,1.52258
S018,XAN_1639,153.6,1.179136
S019,XAN_1639,152,0.236258
S020,XAN_1639,152.1,0.250076
S021,XAN_1639,151.6,-0.0044470000000000004
S022,XAN_1639,151.1,-0.741154
S023,XAN_1639,151.5,0.128879
S024,XAN_1639,151.8,0.097837
S025,XAN_1639,153.5,1.773893
S026,XAN_1639,151.8,0.203932
S027,XAN_1639,151.1,-0.407904
S028,XAN_1639,152.2,-0.135191
S029,XAN_1639,151.7,0.006901
S030,XAN_1639,151.5,-0.427531
S031,XAN_1639,152,0.530122
S032,XAN_1639,152.3,1.039591
S033,XAN_1639,151.9,0.788033
S034,XAN_1639,151.7,0.537989
S035,XAN_1639,153.1,1.601122
S036,XAN_1639,152.3,0.393962
S037,XAN_1639,152.2,-0.135631
S038,XAN_1639,151.3,0.105159
S039,XAN_1639,150.6,-1.087268
S040,XAN_1639,152.4,1.053966
S041,XAN_1639,151.5,0.179879
S042,XAN_1639,152.4,1.332542
S043,XAN_1639,151.5,-0.59107
S044,XAN_1639,152.6,0.82261
S045,XAN_1639,151.8,-0.745102
S046,XAN_1639,153.7,0.968939
S047,XAN_1639,149.3,-1.675124
S048,XAN_1639,151.8,0.725327
S049,XAN_1639,151.2,-0.572366
S050,XAN_1639,152.1,0.792917
S051,XAN_1639,150.9,-0.580909
S052,XAN_1639,150.7,-0.850064
S053,XAN_1639,150.8,-0.398767
S054,XAN_1639,150.2,-1.429462
S055,XAN_1639,151.5,0.282719
S056,XAN_1639,151.6,-0.076878
S057,XAN_1639,150.4,-1.900536
S058,XAN_1639,151.9,-0.232719
S059,XAN_1639,152,-0.313604
S060,XAN_1639,151.5,-0.014492
S061,XAN_1639,151.5,0.256092
S062,XAN_1639,152.8,0.831914
S063,XAN_1639,151.4,0.437162
S064,XAN_1639,151,-1.148047
S065,XAN_1639,151.8,-0.073278
S066,XAN_1639,149.6,-1.193295
S067,XAN_1639,152.3,-0.007335
S068,XAN_1639,150.7,-1.28826
S069,XAN_1639,152.9,1.117897
S070,XAN_1639,151.1,-1.490414
S071,XAN_1639,151.2,-0.520262
S072,XAN_1639,151.6,-0.131056
S073,XAN_1639,151.6,0.04059
S074,XAN_1639,151.4,-0.230618
S075,XAN_1639,150.3,-0.983206
S076,XAN_1639,150.9,-0.974884
S077,XAN_1639,152.2,0.868854
S078,XAN_1639,151.8,-0.10892
S079,XAN_1639,151.1,0.138096
S080,XAN_1639,152.3,0.007889
S081,XAN_1639,149.5,-1.620209
S082,XAN_1639,150.7,-1.354083
S083,XAN_1639,152.2,0.64677
S084,XAN_1639,153,0.70602
S085,XAN_1639,152.3,0.534987
S086,XAN_1639,153.1,1.147681
S087,XAN_1639,152.3,0.244724
S088,XAN_1639,151.8,0.127254
S089,XAN_1639,152.6,0.807939
S090,XAN_1639,153,0.565455
S091,XAN_1639,151.3,-0.298956
S092,XAN_1639,153.1,0.754603
S093,XAN_1639,152.2,0.036941
S094,XAN_1639,153.9,0.987256
S095,XAN_1639,153.1,1.578358
S096,XAN_1639,151.4,-0.331594
S097,XAN_1639,150.7,-0.494221
S098,XAN_1639,150.9,-0.469163
S099,XAN_1639,151,-0.327289
S100,XAN_1639,152.5,0.796809
S101,XAN_1639,150.6,-1.585192
S102,XAN_1639,152.8,2.102816
S103,XAN_1639,151.4,-1.193757
S104,XAN_1639,149.2,-1.393776
S105,XAN_1639,151.2,-0.749104
S106,XAN_1639,153.8,2.402181
S107,XAN_1639,152.2,0.587048
S108,XAN_1639,152.5,0.01008
S109,XAN_1639,153.4,1.18847
S110,XAN_1639,151,-0.699814
S111,XAN_1639,152.6,0.346066
S112,XAN_1639,151.7,-0.012476
S113,XAN_1639,151,-1.846156
S114,XAN_1639,150.8,-0.97666
S115,XAN_1639,152.7,0.414412
S116,XAN_1639,153,0.846306
S117,XAN_1639,153.3,0.701799
S118,XAN_1639,152.3,0.310144
S119,XAN_1639,153.4,1.009431
S120,XAN_1639,151.7,-0.189428
S121,XAN_1639,153.6,1.170214
S122,XAN_1639,150.3,-1.795772
S123,XAN_1639,151.1,-0.205935
S124,XAN_1639,150.6,-0.811622
S125,XAN_1639,152,-0.08933
S126,XAN_1639,151.1,-0.529512
S127,XAN_1639,151.2,-0.930765
S128,XAN_1639,150,-1.014527
S129,XAN_1639,150.6,-1.18039
S130,XAN_1639,151.9,1.153046
S131,XAN_1639,151.8,0.483369
S132,XAN_1639,151.4,0.069017
S133,XAN_1639,152.9,1.181497
S134,XAN_1639,151.6,-0.108914
S135,XAN_1639,151.9,-0.722363
S136,XAN_1639,150.7,-1.203842
S137,XAN_1639,153.1,0.890729
S138,XAN_1639,151.1,-0.711058
S139,XAN_1639,151.5,-0.094778
S140,XAN_1639,151.2,-0.728442
S141,XAN_1639,152.2,0.296984
S142,XAN_1639,151.8,0.245847
S143,XAN_1639,153.6,1.679035
S144,XAN_1639,149.8,-1.308066
S145,XAN_1639,151.9,0.69786
S146,XAN_1639,149.8,-1.550325
S147,XAN_1639,151.2,-0.142982
S148,XAN_1639,152.4,0.958678
S149,XAN_1639,151.5,-0.522602
S150,XAN_1639,150.4,-1.481024
S151,XAN_1639,153,1.256298
S152,XAN_1639,151.5,-0.305964
S153,XAN_1639,151.7,-0.012896
S154,XAN_1639,153.3,0.661665
S155,XAN_1639,152.2,-7.88e-4
S156,XAN_1639,151.3,-0.716313
S157,XAN_1639,153,0.404704
S158,XAN_1639,152.9,0.601289
S159,XAN_1639,151.6,0.196732
S160,XAN_1639,151.5,-0.378822
S161,XAN_1639,150.6,-1.279889
S162,XAN_1639,152.9,0.798897
S163,XAN_1639,152.3,1.744263
S164,XAN_1639,150.9,-0.435817
S165,XAN_1639,151.2,-0.369972
S166,XAN_1639,152.6,0.624325
S167,XAN_1639,151.1,-0.378177
S168,XAN_1639,151.1,-1.430077
S169,XAN_1639,150.7,-0.726697
S170,XAN_1639,151.5,-0.905932
S171,XAN_1639,150.8,-0.178621
S172,XAN_1639,150.5,-1.529436
S173,XAN_1639,152.2,1.201788
S174,XAN_1639,152.2,0.554446
S175,XAN_1639,152,0.272872
S176,XAN_1639,150.8,-1.353729
S177,XAN_1639,150.7,-0.738874
S178,XAN_1639,152.1,0.064802
S179,XAN_1639,150.1,-1.581744
S180,XAN_1639,151.8,0.226479
S181,XAN_1639,153,1.896833
S182,XAN_1639,151.9,0.298096
S183,XAN_1639,151.5,0.143092
S184,XAN_1639,150.4,-1.223874
S185,XAN_1639,152.5,0.34633
S186,XAN_1639,151.9,0.604931
S187,XAN_1639,152.2,-0.185121
S188,XAN_1639,153.7,0.787969
S189,XAN_1639,150.7,-1.239333
S190,XAN_1639,151.6,-0.215398
S191,XAN_1639,150.9,-1.361353
S192,XAN_1639,152.7,0.761482
S193,XAN_1639,151.4,-0.301966
S194,XAN_1639,154.1,1.028012
S195,XAN_1639,152.2,0.213264
S196,XAN_1639,150.9,-0.46395
S197,XAN_1639,152.5,0.829666
S198,XAN_1639,153,0.784881
S199,XAN_1639,152,0.123083
S200,XAN_1639,151.4,-0.40187
S001,XAN_1770,193.9,-1.957542
S002,XAN_1770,195.8,-1.212107
S003,XAN_1770,198.4,2.083775
S004,XAN_1770,195.5,-0.666209
S005,XAN_1770,196.1,0.364247
S006,XAN_1770,196.6,0.414058
S007,XAN_1770,197.1,0.637617
S008,XAN_1770,198.3,1.679811
S009,XAN_1770,196.6,0.433117
S010,XAN_1770,196.3,0.071279
S011,XAN_1770,196.3,-0.653554
S012,XAN_1770,195.2,-1.035868
S013,XAN_1770,194.9,-1.121034
S014,XAN_1770,197.3,0.593965
S015,XAN_1770,196.4,0.318723
S016,XAN_1770,197.3,1.005153
S017,XAN_1770,196.2,-0.055762
S018,XAN_1770,198.2,1.113802
S019,XAN_1770,196.5,0.146108
S020,XAN_1770,197.3,0.94442
S021,XAN_1770,196.1,-0.04478
S022,XAN_1770,196.5,0.039935
S023,XAN_1770,196.1,0.195681
S024,XAN_1770,196.8,0.67770300000000006
S025,XAN_1770,196.8,0.048668
S026,XAN_1770,196.4,0.249812
S027,XAN_1770,196.3,0.561107
S028,XAN_1770,196.7,-0.26287
S029,XAN_1770,196.3,0.074264
S030,XAN_1770,196.9,0.360775
S031,XAN_1770,195.6,-0.753645
S032,XAN_1770,196.7,0.782216
S033,XAN_1770,196.4,0.706296
S034,XAN_1770,196.1,0.337416
S035,XAN_1770,197.5,1.354239
S036,XAN_1770,196.9,0.40063
S037,XAN_1770,197.1,0.504185
S038,XAN_1770,196.5,0.695616
S039,XAN_1770,194.9,-1.323077
S040,XAN_1770,196.9,0.931949
S041,XAN_1770,195.8,-0.240647
S042,XAN_1770,196.4,0.729026
S043,XAN_1770,196.4,-0.23964
S044,XAN_1770,195.7,-0.688212
S045,XAN_1770,197.1,0.049117
S046,XAN_1770,198.5,1.060815
S047,XAN_1770,194.2,-1.227485
S048,XAN_1770,196.8,1.43223
S049,XAN_1770,196.1,-0.151765
S050,XAN_1770,195.7,-0.630571
S051,XAN_1770,195.6,-0.329961
S052,XAN_1770,195.7,0.148229
S053,XAN_1770,195.2,-0.567759
S054,XAN_1770,194.7,-1.378454
S055,XAN_1770,194.3,-1.875828
S056,XAN_1770,196.6,0.35544
S057,XAN_1770,196.2,-0.119256
S058,XAN_1770,196.6,-0.081478
S059,XAN_1770,197.6,1.165317
S060,XAN_1770,196.2,0.285702
S061,XAN_1770,196.5,0.920384
S062,XAN_1770,197.9,1.311019
S063,XAN_1770,195.4,-0.330013
S064,XAN_1770,195.8,-0.707869
S065,XAN_1770,195.4,-1.166626
S066,XAN_1770,194.3,-0.90668
S067,XAN_1770,197.9,1.547466
S068,XAN_1770,195,-1.55554
S069,XAN_1770,196.8,0.272973
S070,XAN_1770,196.8,0.298748
S071,XAN_1770,195.3,-1.028264
S072,XAN_1770,196.1,-0.18579
S073,XAN_1770,196.3,0.233986
S074,XAN_1770,195.1,-1.152588
S075,XAN_1770,195.2,-0.53663
S076,XAN_1770,194.5,-1.79756
S077,XAN_1770,196,0.260294
S078,XAN_1770,197,0.869381
S079,XAN_1770,195,-0.48809
S080,XAN_1770,196.7,-0.18319
S081,XAN_1770,194.4,-1.224624
S082,XAN_1770,196.6,-0.122124
S083,XAN_1770,197.6,1.352835
S084,XAN_1770,196.5,-0.419728
S085,XAN_1770,196.3,-0.353568
S086,XAN_1770,197.2,0.670871
S087,XAN_1770,196.4,-0.136246
S088,XAN_1770,196.6,0.394022
S089,XAN_1770,197.4,0.986953
S090,XAN_1770,198.2,1.021136
S091,XAN_1770,196.2,0.096826
S092,XAN_1770,195.8,-0.889547
S093,XAN_1770,197.1,0.46219
S094,XAN_1770,198.9,1.219605
S095,XAN_1770,196.6,0.292421
S096,XAN_1770,195.7,-0.612739
S097,XAN_1770,196.2,0.258335
S098,XAN_1770,195.2,-0.6698
S099,XAN_1770,196.1,0.480319
S100,XAN_1770,196.9,0.54987
S101,XAN_1770,196,-0.648715
S102,XAN_1770,195.5,-0.74136
S103,XAN_1770,196.9,0.634462
S104,XAN_1770,193.7,-1.301617
S105,XAN_1770,196.1,-0.28438600000000003
S106,XAN_1770,197.6,1.144564
S107,XAN_1770,195.8,-0.616115
S108,XAN_1770,197.3,0.211731
S109,XAN_1770,198.4,1.481362
S110,XAN_1770,195.4,-0.80866
S111,XAN_1770,197,0.138836
S112,XAN_1770,196.8,0.896039
S113,XAN_1770,197.3,0.981964
S114,XAN_1770,195.3,-0.963919
S115,XAN_1770,197.6,0.668719
S116,XAN_1770,198.7,1.821194
S117,XAN_1770,198.8,1.651486
S118,XAN_1770,196.6,-0.150656
S119,XAN_1770,196.9,-0.202388
S120,XAN_1770,196.5,0.079508
S121,XAN_1770,198,0.95213
S122,XAN_1770,196.3,0.072383
S123,XAN_1770,194.3,-1.596411
S124,XAN_1770,194.7,-1.217423
S125,XAN_1770,196.4,-0.223107
S126,XAN_1770,196,-0.160171
S127,XAN_1770,195.2,-1.614888
S128,XAN_1770,194.9,-0.742301
S129,XAN_1770,196.3,0.267091
S130,XAN_1770,195.4,-0.489775
S131,XAN_1770,196,-0.070481
S132,XAN_1770,195.9,0.032045
S133,XAN_1770,196.4,0.140461
S134,XAN_1770,195.5,-0.663301
S135,XAN_1770,197.5,0.410601
S136,XAN_1770,195.6,-0.662448
S137,XAN_1770,197.3,0.517231
S138,XAN_1770,195.3,-0.9746
S139,XAN_1770,195.7,-0.543283
S140,XAN_1770,195.8,-0.62936
S141,XAN_1770,196.4,-0.047092
S142,XAN_1770,196.8,1.064734
S143,XAN_1770,196.1,-0.091789
S144,XAN_1770,194.5,-1.070978
S145,XAN_1770,195.8,-0.246673
S146,XAN_1770,195.5,-0.336812
S147,XAN_1770,195.8,-0.069903
S148,XAN_1770,197.1,1.05395
S149,XAN_1770,195.7,-0.810823
S150,XAN_1770,195.1,-1.208364
S151,XAN_1770,197.6,1.187324
S152,XAN_1770,195.9,-0.425875
S153,XAN_1770,196.4,0.220705
S154,XAN_1770,198.2,0.81419299999999994
S155,XAN_1770,196.8,0.01275
S156,XAN_1770,196.5,0.144306
S157,XAN_1770,198,1.14718
S158,XAN_1770,198,0.932814
S159,XAN_1770,196.3,0.421401
S160,XAN_1770,195.7,-0.89955
S161,XAN_1770,195.3,-1.058098
S162,XAN_1770,196.7,0.091541
S163,XAN_1770,196.2,0.441353
S164,XAN_1770,195.3,-0.55477
S165,XAN_1770,195.5,-0.576022
S166,XAN_1770,196.2,-0.280184
S167,XAN_1770,195.6,-0.386877
S168,XAN_1770,196.6,0.106056
S169,XAN_1770,196.1,0.195996
S170,XAN_1770,196.6,-0.193615
S171,XAN_1770,196.2,0.839241
S172,XAN_1770,195.8,-0.418794
S173,XAN_1770,196.1,0.592054
S174,XAN_1770,196.1,0.169895
S175,XAN_1770,196.6,0.318071
S176,XAN_1770,195,-1.844429
S177,XAN_1770,194,-1.741872
S178,XAN_1770,196.2,-0.466361
S179,XAN_1770,195.3,-0.683964
S180,XAN_1770,195.9,-0.451447
S181,XAN_1770,196.2,-0.130812
S182,XAN_1770,196.8,0.681833
S183,XAN_1770,194.7,-1.515062
S184,XAN_1770,195.5,-0.651376
S185,XAN_1770,196.1,-0.541317
S186,XAN_1770,196.7,0.88705
S187,XAN_1770,195.6,-1.108235
S188,XAN_1770,199.3,1.297472
S189,XAN_1770,196.2,-0.447458
S190,XAN_1770,196.4,0.034323
S191,XAN_1770,196.6,0.15834
S192,XAN_1770,197.6,1.038714
S193,XAN_1770,195.6,-0.947014
S194,XAN_1770,199.4,1.428803
S195,XAN_1770,197.9,1.782219
S196,XAN_1770,196.1,0.326234
S197,XAN_1770,196.9,0.662286
S198,XAN_1770,197.4,0.582831
S199,XAN_1770,195.5,-0.894137
S200,XAN_1770,194.9,-1.40181
S001,XAN_1815,1432.4,-0.955686
S002,XAN_1815,1433.9,-0.337819
S003,XAN_1815,1434.2,0.243757
S004,XAN_1815,1431.9,-1.911892
S005,XAN_1815,1431.9,-1.53136
S006,XAN_1815,1435,1.358868
S007,XAN_1815,1434.3,0.421646
S008,XAN_1815,1434.3,-0.043486
S009,XAN_1815,1432.6,-0.962039
S010,XAN_1815,1433.1,-0.759516
S011,XAN_1815,1433.3,-1.359799
S012,XAN_1815,1432.7,-1.053261
S013,XAN_1815,1433,-0.271831
S014,XAN_1815,1433.5,-0.679971
S015,XAN_1815,1435,1.661213
S016,XAN_1815,1434.1,0.381159
S017,XAN_1815,1433.9,0.172901
S018,XAN_1815,1435.2,0.835038
S019,XAN_1815,1432.7,-1.505406
S020,XAN_1815,1435.4,1.780963
S021,XAN_1815,1433.7,0.087661
S022,XAN_1815,1434.3,0.372975
S023,XAN_1815,1433.1,-0.324048
S024,XAN_1815,1433.4,-0.470046
S025,XAN_1815,1434.8,0.813592
S026,XAN_1815,1433.3,-0.382269
S027,XAN_1815,1434.7,1.968687
S028,XAN_1815,1434.1,-0.310428
S029,XAN_1815,1434.5,1.157436
S030,XAN_1815,1433.8,-0.141893
S031,XAN_1815,1433.6,-0.044292
S032,XAN_1815,1432.9,-0.957467
S033,XAN_1815,1434,0.910054
S034,XAN_1815,1433.4,0.104155
S035,XAN_1815,1434.1,0.532293
S036,XAN_1815,1433,-0.978471
S037,XAN_1815,1434.1,-0.376654
S038,XAN_1815,1433.4,0.194359
S039,XAN_1815,1433.9,0.800336
S040,XAN_1815,1434.7,1.424459
S041,XAN_1815,1434,1.113635
S042,XAN_1815,1433.7,0.571428
S043,XAN_1815,1433.8,-0.288559
S044,XAN_1815,1435.1,1.336471
S045,XAN_1815,1433.1,-1.549347
S046,XAN_1815,1435.2,0.493376
S047,XAN_1815,1431.9,-1.113551
S048,XAN_1815,1432.2,-2.003614
S049,XAN_1815,1433.7,0.004828
S050,XAN_1815,1432.9,-1.075644
S051,XAN_1815,1433.5,0.194983
S052,XAN_1815,1432.8,-0.643022
S053,XAN_1815,1432.7,-0.603635
S054,XAN_1815,1432.3,-1.326279
S055,XAN_1815,1433.1,-0.252167
S056,XAN_1815,1434.7,1.023201
S057,XAN_1815,1433.2,-0.766751
S058,XAN_1815,1433.9,-0.243137
S059,XAN_1815,1433.6,-0.939253
S060,XAN_1815,1432.9,-1.194673
S061,XAN_1815,1433.6,0.400188
S062,XAN_1815,1435.2,1.245731
S063,XAN_1815,1433,-0.185033
S064,XAN_1815,1433.1,-0.993234
S065,XAN_1815,1434.2,0.401924
S066,XAN_1815,1433,0.247053
S067,XAN_1815,1434.2,-0.191343
S068,XAN_1815,1433.7,0.292209
S069,XAN_1815,1434.2,0.243209
S070,XAN_1815,1435.2,1.853657
S071,XAN_1815,1433.9,0.385348
S072,XAN_1815,1433,-0.938581
S073,XAN_1815,1432.8,-1.017923
S074,XAN_1815,1432.5,-1.297968
S075,XAN_1815,1432.2,-1.083557
S076,XAN_1815,1432.9,-0.975
S077,XAN_1815,1433.7,0.448585
S078,XAN_1815,1434.3,0.686962
S079,XAN_1815,1432.2,-0.847726
S080,XAN_1815,1434.7,0.414998
S081,XAN_1815,1432.6,-0.695796
S082,XAN_1815,1433.8,-0.339509
S083,XAN_1815,1434.6,1.004735
S084,XAN_1815,1434.8,0.47774
S085,XAN_1815,1434.6,0.992611
S086,XAN_1815,1435.4,1.406215
S087,XAN_1815,1433.4,-0.503344
S088,XAN_1815,1433.3,-0.466667
S089,XAN_1815,1433.5,-0.334231
S090,XAN_1815,1433.7,-0.579236
S091,XAN_1815,1433.7,0.142139
S092,XAN_1815,1434,-0.247256
S093,XAN_1815,1434.6,0.595999
S094,XAN_1815,1436.3,1.30168
S095,XAN_1815,1434.7,1.080723
S096,XAN_1815,1433.4,-0.337374
S097,XAN_1815,1431.8,-1.19783
S098,XAN_1815,1432.7,-0.688883
S099,XAN_1815,1432.5,-1.044532
S100,XAN_1815,1433.3,-0.737697
S101,XAN_1815,1434.2,0.133069
S102,XAN_1815,1433.5,0.041548
S103,XAN_1815,1433.7,-0.602675
S104,XAN_1815,1431.3,-1.305129
S105,XAN_1815,1432.9,-1.137312
S106,XAN_1815,1434.8,0.880463
S107,XAN_1815,1433.3,-0.59347
S108,XAN_1815,1435.5,1.106183
S109,XAN_1815,1434.1,-0.061521
S110,XAN_1815,1433.3,-0.358022
S111,XAN_1815,1434.1,-0.182005
S112,XAN_1815,1433.2,-0.902837
S113,XAN_1815,1433.7,-0.679412
S114,XAN_1815,1433.8,0.058546
S115,XAN_1815,1435.9,1.562888
S116,XAN_1815,1435.1,0.926315
S117,XAN_1815,1436,1.520972
S118,XAN_1815,1435.7,2.625504
S119,XAN_1815,1435.1,0.655994
S120,XAN_1815,1434,0.146118
S121,XAN_1815,1434.4,0.177523
S122,XAN_1815,1433.5,-0.252266
S123,XAN_1815,1432.4,-0.997953
S124,XAN_1815,1433.5,0.231488
S125,XAN_1815,1433.9,-0.179875
S126,XAN_1815,1432.9,-0.731521
S127,XAN_1815,1433.3,-0.793629
S128,XAN_1815,1430.9,-1.686564
S129,XAN_1815,1433.3,-0.300742
S130,XAN_1815,1432.5,-1.154367
S131,XAN_1815,1433.4,-0.186995
S132,XAN_1815,1435.3,2.595778
S133,XAN_1815,1434.4,0.677975
S134,XAN_1815,1432.1,-1.486299
S135,XAN_1815,1433.8,-0.848756
S136,XAN_1815,1432.9,-0.928034
S137,XAN_1815,1434.7,0.52132
S138,XAN_1815,1433.1,-0.712736
S139,XAN_1815,1432.6,-1.375728
S140,XAN_1815,1432.6,-1.476751
S141,XAN_1815,1433.8,-0.092174
S142,XAN_1815,1434.2,1.016739
S143,XAN_1815,1433.6,-0.061752
S144,XAN_1815,1433.2,-0.058666
S145,XAN_1815,1432.7,-1.125248
S146,XAN_1815,1431.7,-1.641242
S147,XAN_1815,1434.5,1.044966
S148,XAN_1815,1433.8,0.33656
S149,XAN_1815,1433.5,-0.527428
S150,XAN_1815,1433.5,-0.157031
S151,XAN_1815,1434.6,0.541338
S152,XAN_1815,1433.8,-0.031186
S153,XAN_1815,1434.3,0.972169
S154,XAN_1815,1435.7,0.921925
S155,XAN_1815,1434.2,-0.012573
S156,XAN_1815,1433.2,-0.855974
S157,XAN_1815,1434.7,-0.297768
S158,XAN_1815,1435.4,0.96717
S159,XAN_1815,1433.3,-0.270282
S160,XAN_1815,1435,2.076628
S161,XAN_1815,1432.7,-1.173705
S162,XAN_1815,1435.1,0.962964
S163,XAN_1815,1433.9,0.921699
S164,XAN_1815,1433.2,-0.032966
S165,XAN_1815,1432.6,-0.982454
S166,XAN_1815,1435.3,1.272909
S167,XAN_1815,1434.6,1.312506
S168,XAN_1815,1434.5,0.868983
S169,XAN_1815,1433.8,0.446088
S170,XAN_1815,1434,-0.241977
S171,XAN_1815,1433.6,0.769087
S172,XAN_1815,1433.3,-0.394086
S173,XAN_1815,1434.1,1.096723
S174,XAN_1815,1434.3,0.607188
S175,XAN_1815,1434,0.256383
S176,XAN_1815,1433.7,0.281766
S177,XAN_1815,1433.2,-0.286139
S178,XAN_1815,1433.8,-0.300704
S179,XAN_1815,1433,-0.448475
S180,XAN_1815,1432.8,-1.358147
S181,XAN_1815,1434.3,0.825154
S182,XAN_1815,1434.3,0.773727
S183,XAN_1815,1433.7,0.399536
S184,XAN_1815,1433.2,-0.461808
S185,XAN_1815,1435,0.801013
S186,XAN_1815,1434.1,0.848549
S187,XAN_1815,1433.5,-0.772889
S188,XAN_1815,1435.5,0.654257
S189,XAN_1815,1432.2,-1.65006
S190,XAN_1815,1435.4,1.639628
S191,XAN_1815,1433,-1.227725
S192,XAN_1815,1435,1.062048
S193,XAN_1815,1433.7,0.312427
S194,XAN_1815,1436.8,1.521857
S195,XAN_1815,1434.3,0.345821
S196,XAN_1815,1433.9,0.724214
S197,XAN_1815,1434.2,0.560668
S198,XAN_1815,1433.8,-0.291286
S199,XAN_1815,1433.5,-0.390353
S200,XAN_1815,1434.1,0.31543
S001,XAN_1983,140.4,-0.106194
S002,XAN_1983,141,-0.530417
S003,XAN_1983,142,0.91104
S004,XAN_1983,140.2,-0.699163
S005,XAN_1983,139.4,-1.215183
S006,XAN_1983,141.4,0.536086
S007,XAN_1983,141.5,0.37957
S008,XAN_1983,142.1,0.671114
S009,XAN_1983,141.3,0.457757
S010,XAN_1983,140.6,-0.419536
S011,XAN_1983,140.5,-1.409213
S012,XAN_1983,139.8,-1.179059
S013,XAN_1983,140.6,0.280212
S014,XAN_1983,141.8,0.446615
S015,XAN_1983,141.5,0.798731
S016,XAN_1983,141.1,0.132881
S017,XAN_1983,142.1,1.079592
S018,XAN_1983,141.8,0.312635
S019,XAN_1983,140.4,-0.881513
S020,XAN_1983,142.3,1.36877
S021,XAN_1983,141.1,0.247784
S022,XAN_1983,142.9,1.626111
S023,XAN_1983,140.4,-0.246794
S024,XAN_1983,140.5,-0.653438
S025,XAN_1983,141.2,-0.299724
S026,XAN_1983,140.2,-0.762161
S027,XAN_1983,141.1,0.724166
S028,XAN_1983,141.1,-0.683189
S029,XAN_1983,141.1,0.233358
S030,XAN_1983,139.8,-1.329946
S031,XAN_1983,141,0.185644
S032,XAN_1983,140.3,-0.717079
S033,XAN_1983,140.9,0.46178
S034,XAN_1983,141.1,0.758521
S035,XAN_1983,141.1,0.283859
S036,XAN_1983,140.6,-0.594201
S037,XAN_1983,141.9,0.827227
